customer_id,product_id
1600785,1443029
1600785,1164138
1600785,1636511
1600785,1832547
1600785,1237420
1600852,1597824
1600852,1755017
1600852,1267131
1600852,1516839
1600852,1833307
1600959,1486209
1600959,1028567
1600959,1889979
1600959,1634459
1600959,1596114
1600969,1820289
1600969,1465869
1600969,1140363
1600969,1745803
1600969,1859893
1601034,1094131
1601034,1602884
1601034,1112685
1601034,1605396
1601034,1387146
1601055,1626869
1601055,1025311
1601055,1324552
1601055,1986746
1601055,1624722
1601061,1318666
1601061,1704151
1601061,1272597
1601061,1259361
1601061,1344854
1601163,1536577
1601163,1494449
1601163,1762495
1601163,1762408
1601163,1140363
1601205,1576792
1601205,1500256
1601205,1775872
1601205,1630277
1601205,1633379
1601218,1387497
1601218,1512314
1601218,1774643
1601218,1032956
1601218,1459308
1601229,1980684
1601229,1281560
1601229,1921927
1601229,1851357
1601229,1019466
1601237,1420386
1601237,1621927
1601237,1014695
1601237,1725885
1601237,1354207
1601264,1443029
1601264,1138798
1601264,1119298
1601264,1391981
1601264,1614074
1601341,1867565
1601341,1284893
1601341,1730614
1601341,1905180
1601341,1124997
1601680,1281986
1601680,1605396
1601680,1206792
1601680,1180758
1601680,1520469
1601688,1286438
1601688,1695217
1601688,1276596
1601688,1498438
1601688,1266560
1601776,1739317
1601776,1842528
1601776,1660999
1601776,1489224
1601776,1436977
1601846,1564253
1601846,1259361
1601846,1962166
1601846,1309918
1601846,1288609
1601896,1008476
1601896,1378858
1601896,1530213
1601896,1903306
1601896,1049883
1602001,1486973
1602001,1170020
1602001,1897376
1602001,1762408
1602001,1344240
1602004,1345153
1602004,1836974
1602004,1219756
1602004,1685383
1602004,1678038
1602144,1879545
1602144,1683133
1602144,1167495
1602144,1836974
1602144,1173724
1602211,1826893
1602211,1051590
1602211,1119298
1602211,1009975
1602211,1614915
1602218,1076171
1602218,1820289
1602218,1107600
1602218,1501073
1602218,1898639
1602264,1791225
1602264,1901468
1602264,1469634
1602264,1345153
1602264,1844960
1602301,1469422
1602301,1437855
1602301,1584125
1602301,1440720
1602301,1923878
1602327,1544227
1602327,1865874
1602327,1281986
1602327,1786147
1602327,1762408
1602368,1420386
1602368,1105699
1602368,1610242
1602368,1801705
1602368,1330366
1602383,1502474
1602383,1445325
1602383,1219553
1602383,1657954
1602383,1331091
1602396,1040387
1602396,1489020
1602396,1324552
1602396,1617958
1602396,1172233
1602681,1134525
1602681,1072045
1602681,1027512
1602681,1297684
1602681,1573556
1602722,1551153
1602722,1483575
1602722,1029311
1602722,1317693
1602722,1948472
1602730,1726255
1602730,1696068
1602730,1297659
1602730,1811121
1602730,1387497
1602822,1356517
1602822,1746711
1602822,1704096
1602822,1627170
1602822,1286438
1602844,1587300
1602844,1107262
1602844,1950690
1602844,1284464
1602844,1155278
1602899,1337424
1602899,1208256
1602899,1060410
1602899,1311247
1602899,1321465
1602924,1906466
1602924,1959920
1602924,1513832
1602924,1298229
1602924,1290453
1602959,1016107
1602959,1962166
1602959,1291859
1602959,1952052
1602959,1040065
1602977,1087656
1602977,1322176
1602977,1707084
1602977,1726401
1602977,1151645
1603053,1636762
1603053,1920067
1603053,1535805
1603053,1994245
1603053,1289393
1603077,1316331
1603077,1180758
1603077,1907826
1603077,1445325
1603077,1076171
1603144,1638897
1603144,1838782
1603144,1088195
1603144,1297600
1603144,1652328
1603239,1681385
1603239,1110937
1603239,1774964
1603239,1876591
1603239,1272493
1603392,1534102
1603392,1281986
1603392,1553954
1603392,1490046
1603392,1719665
1603478,1436977
1603478,1172764
1603478,1636950
1603478,1155278
1603478,1962267
1603523,1272493
1603523,1161872
1603523,1723434
1603523,1440587
1603523,1868094
1603649,1792432
1603649,1724887
1603649,1518261
1603649,1343900
1603649,1063069
1603704,1718853
1603704,1040387
1603704,1633354
1603704,1014973
1603704,1365080
1603844,1334883
1603844,1443895
1603844,1872659
1603844,1212537
1603844,1478670
1603945,1730614
1603945,1633325
1603945,1615648
1603945,1967864
1603945,1444152
1604029,1873434
1604029,1959920
1604029,1300125
1604029,1513832
1604029,1164138
1604098,1494449
1604098,1955027
1604098,1490339
1604098,1537483
1604098,1907826
1604130,1893456
1604130,1637008
1604130,1644083
1604130,1624722
1604130,1423002
1604267,1368751
1604267,1895090
1604267,1861964
1604267,1536577
1604267,1387146
1604269,1385264
1604269,1161872
1604269,1926686
1604269,1286438
1604269,1023104
1604322,1128673
1604322,1115971
1604322,1004302
1604322,1634182
1604322,1354810
1604353,1801787
1604353,1057821
1604353,1823608
1604353,1823899
1604353,1663932
1604430,1324552
1604430,1122133
1604430,1286438
1604430,1222277
1604430,1801787
1604441,1138361
1604441,1697122
1604441,1803521
1604441,1040387
1604441,1690805
1604485,1243107
1604485,1216947
1604485,1014695
1604485,1486209
1604485,1879545
1604522,1459546
1604522,1889642
1604522,1788351
1604522,1628331
1604522,1232692
1604609,1842528
1604609,1714497
1604609,1219756
1604609,1032956
1604609,1660476
1604706,1161872
1604706,1727723
1604706,1225813
1604706,1886220
1604706,1591346
1604742,1767554
1604742,1084995
1604742,1055075
1604742,1108410
1604742,1734661
1604824,1461041
1604824,1443029
1604824,1644762
1604824,1529979
1604824,1242372
1604893,1833307
1604893,1700329
1604893,1988675
1604893,1369512
1604893,1281986
1604894,1282717
1604894,1719215
1604894,1138361
1604894,1395799
1604894,1766178
1604923,1867565
1604923,1534102
1604923,1721708
1604923,1236722
1604923,1665135
1605053,1101327
