customer_id,product_id,purchased
1000078,1730073,False
1000078,1470520,False
1000078,1861356,False
1000078,1240824,True
1000078,1155460,False
1000102,1937021,False
1000102,1718853,False
1000102,1059918,True
1000102,1082049,False
1000102,1326497,False
1000185,1257821,False
1000185,1900779,False
1000185,1448703,True
1000185,1749725,False
1000185,1741848,False
1000423,1039653,False
1000423,1759239,False
1000423,1582029,True
1000423,1333666,False
1000423,1171407,False
1000696,1996925,True
1000696,1921927,False
1000696,1378299,True
1000696,1341288,True
1000696,1678038,False
1000785,1857733,False
1000785,1937132,False
1000785,1832721,False
1000785,1947632,False
1000785,1712536,False
1000916,1313600,False
1000916,1393679,True
1000916,1844960,False
1000916,1765787,False
1000916,1004302,False
1001144,1215350,False
1001144,1170717,True
1001144,1729006,False
1001144,1624036,True
1001144,1721708,False
1001172,1896686,False
1001172,1586946,False
1001172,1943705,False
1001172,1774573,False
1001172,1409433,True
1001238,1553993,True
1001238,1318088,True
1001238,1086566,False
1001238,1638440,True
1001238,1518266,False
1001248,1832721,False
1001248,1324552,False
1001248,1943705,True
1001248,1914722,False
1001248,1424161,False
1001382,1079973,False
1001382,1444089,False
1001382,1538183,False
1001382,1264429,True
1001382,1898639,False
1001388,1117940,True
1001388,1529979,False
1001388,1200453,True
1001388,1727723,False
1001388,1865540,False
1001419,1377236,True
1001419,1912914,False
1001419,1842528,False
1001419,1563135,True
1001419,1652328,False
1001483,1529979,True
1001483,1434159,False
1001483,1298229,True
1001483,1073542,False
1001483,1560221,False
1001516,1661206,False
1001516,1844264,False
1001516,1023809,False
1001516,1138361,False
1001516,1836974,False
1001552,1920414,False
1001552,1777211,False
1001552,1023104,False
1001552,1069144,False
1001552,1437474,False
1001687,1881867,False
1001687,1243107,False
1001687,1316745,True
1001687,1153172,True
1001687,1164160,True
1001710,1439293,False
1001710,1300376,True
1001710,1933128,True
1001710,1139040,False
1001710,1889979,False
1001712,1981204,True
1001712,1298229,True
1001712,1434483,False
1001712,1681404,True
1001712,1920414,False
1001794,1919130,True
1001794,1461672,False
1001794,1788003,False
1001794,1816319,True
1001794,1359550,False
1001813,1896686,True
1001813,1959558,False
1001813,1770354,False
1001813,1426583,True
1001813,1982635,False
1001885,1530511,False
1001885,1774643,False
1001885,1534977,True
1001885,1493029,False
1001885,1241894,False
1001929,1058615,False
1001929,1730614,False
1001929,1980468,False
1001929,1624722,True
1001929,1405072,False
1002085,1147013,False
1002085,1858896,False
1002085,1778721,False
1002085,1726255,False
1002085,1734661,True
1002195,1793260,True
1002195,1536065,False
1002195,1512314,False
1002195,1117030,False
1002195,1535805,False
1002223,1273246,False
1002223,1117030,False
1002223,1935440,True
1002223,1072292,False
1002223,1481752,True
1002334,1836863,True
1002334,1588057,False
1002334,1460654,False
1002334,1570993,False
1002334,1139040,False
1002362,1897376,False
1002362,1203799,False
1002362,1300376,False
1002362,1445325,False
1002362,1288627,False
1002501,1851357,False
1002501,1334883,True
1002501,1415947,False
1002501,1850198,False
1002501,1056142,False
1002592,1611268,False
1002592,1198284,True
1002592,1560221,True
1002592,1203799,False
1002592,1490461,True
1002601,1042645,True
1002601,1685483,False
1002601,1209772,True
1002601,1444089,False
1002601,1051609,False
1002722,1553993,False
1002722,1748751,True
1002722,1017884,True
1002722,1650307,True
1002722,1632133,True
1002725,1749326,False
1002725,1678038,False
1002725,1070005,True
1002725,1803521,False
1002725,1996584,True
1002779,1185243,False
1002779,1884988,False
1002779,1739317,False
1002779,1976314,False
1002779,1115971,False
1002791,1439293,False
1002791,1604086,False
1002791,1749725,False
1002791,1543129,True
1002791,1334883,False
1002938,1398443,True
1002938,1310156,False
1002938,1590454,True
1002938,1196945,True
1002938,1386168,True
1003095,1708645,False
1003095,1914722,False
1003095,1636489,True
1003095,1886220,False
1003095,1932907,False
1003186,1741848,False
1003186,1947188,False
1003186,1216936,False
1003186,1530511,False
1003186,1425734,True
1003221,1750545,False
1003221,1521459,False
1003221,1469634,True
1003221,1617977,True
1003221,1470436,False
1003265,1837975,False
1003265,1111862,False
1003265,1912914,False
1003265,1326745,True
1003265,1023182,True
1003350,1534102,False
1003350,1040983,False
1003350,1610242,False
1003350,1632133,False
1003350,1813478,True
1003381,1634459,False
1003381,1660999,False
1003381,1633325,False
1003381,1681385,False
1003381,1064193,False
1003519,1310156,False
1003519,1821738,True
1003519,1540794,False
