product_id,length,difficulty,fiction,genre
1769808,148,3,False,Self-Help
1896283,161,5,False,Biography
1889979,296,4,False,History
1341288,551,4,True,Thriller
1666328,623,-1,True,Sci-Fi
1905180,184,1,True,Romance
1014973,743,4,False,Self-Help
1888794,925,2,False,Pop-Psychology
1078720,1000464,1,True,Beach-Read
1315866,479,5,False,History
1328420,639,-1,True,Beach-Read
1644762,189,3,True,Drama
1084163,983,3,True,Classic
1943705,919,3,True,Classic
1731471,297,2,True,Romance
1685483,251,2,False,History
1425734,435,5,False,Biography
1023809,1000299,1,True,Romance
1996925,1000076,3,True,Thriller
1513824,277,3,False,Pop-Psychology
1215350,431,5,False,Pop-Sci
1253934,837,2,True,Thriller
1839472,854,5,False,Pop-Sci
1057821,354,5,True,Beach-Read
1832498,229,3,False,Self-Help
1831631,969,-1,True,Classic
1801787,936,1,True,Classic
1683133,200,2,False,Pop-Sci
1729987,609,2,False,Biography
1542515,450,5,True,Drama
1770354,758,4,False,Pop-Sci
1393448,650,2,True,Beach-Read
1415947,728,3,True,Drama
1596114,645,3,False,Self-Help
1120838,271,1,True,Classic
1853395,775,4,True,Beach-Read
1788673,256,3,False,Pop-Sci
1284893,460,4,True,Thriller
1638440,364,5,True,Romance
1082049,975,4,True,Classic
1281524,1000382,5,False,Biography
1949954,507,3,True,Romance
1203799,616,5,True,Romance
1683057,196,3,False,Biography
1614074,473,1,False,History
1359550,936,4,True,Romance
1586785,636,2,False,Pop-Psychology
1448838,510,4,True,Classic
1609265,335,3,True,Drama
1378858,606,3,True,Beach-Read
1276024,310,2,False,Biography
1886716,877,5,False,Self-Help
1072045,772,1,False,Pop-Sci
1470436,145,5,True,Sci-Fi
1633379,922,5,False,Pop-Sci
1150988,759,3,False,History
1750545,182,3,True,Beach-Read
1718853,896,4,True,Beach-Read
1776653,104,3,True,Thriller
1124040,288,3,True,Drama
1880153,819,3,True,Drama
1300376,326,2,True,Classic
1267131,490,1,True,Beach-Read
1219780,1000077,2,True,Drama
1850198,193,2,False,Pop-Psychology
1086293,761,1,True,Thriller
1670714,929,3,True,Beach-Read
1318088,621,2,False,Pop-Psychology
1213041,885,4,True,Drama
1534102,928,-1,False,Biography
1702072,597,5,False,Pop-Sci
1300939,845,2,False,Pop-Psychology
1958461,916,3,False,History
1982400,951,1,True,Thriller
1110937,637,2,True,Sci-Fi
1203023,1000385,2,True,Thriller
1029311,321,1,True,Classic
1967864,897,2,True,Romance
1760387,1000356,2,False,Pop-Sci
1316745,537,3,True,Classic
1950690,410,3,True,Romance
1242114,678,5,False,Pop-Sci
1147013,652,4,False,Pop-Sci
1155460,910,1,True,Thriller
1370121,734,2,True,Drama
1478670,311,2,True,Drama
1444089,769,2,True,Beach-Read
1962948,563,3,True,Drama
1523812,730,5,True,Thriller
1541365,541,4,True,Romance
1350352,898,2,True,Thriller
1997722,1000006,2,False,Biography
1295090,593,2,True,Romance
1489211,848,5,False,Biography
1019466,497,1,False,Pop-Sci
1771749,856,-1,True,Sci-Fi
1392044,888,4,True,Classic
1570645,483,4,False,Pop-Sci
1855690,934,2,True,Romance
1996282,105,5,True,Thriller
1769927,803,5,True,Sci-Fi
1074337,501,5,True,Sci-Fi
1443029,266,1,True,Sci-Fi
1846559,523,2,True,Classic
1615451,769,5,False,Pop-Sci
1664001,992,2,True,Sci-Fi
1444152,293,1,False,Biography
1138859,618,3,True,Classic
1792550,952,3,False,Pop-Sci
1881867,654,4,True,Classic
1225813,189,5,False,Pop-Psychology
1232692,395,-1,True,Thriller
1347130,114,4,True,Beach-Read
1768055,419,4,False,Biography
1639717,360,2,False,Pop-Psychology
1948472,135,2,False,Pop-Psychology
